popularity
39
51
46
26
74
45
30
17
61
14
25
67
0
27
64
43
21
55
41
20
31
36
20
0
10
36
6
43
34
17
10
21
18
26
61
52
34
40
0
34
58
41
46
31
0
54
10
0
10
65
75
23
55
19
22
45
6
9
57
29
7
30
55
9
45
33
1
23
0
50
2
20
0
22
58
23
34
27
49
0
32
5
76
42
1
19
62
55
43
20
38
16
39
0
45
35
0
39
7
14
47
0
24
39
0
1
64
19
51
37
0
11
51
32
29
44
44
33
31
46
31
25
50
34
51
54
34
29
44
0
70
57
41
12
66
54
63
39
61
20
34
11
36
60
45
42
59
62
23
46
0
21
24
16
46
58
63
0
20
12
18
0
1
28
51
72
23
61
50
29
74
31
19
79
23
34
19
21
0
43
43
75
47
20
48
28
0
33
56
34
0
0
33
55
56
48
5
2
56
40
36
0
0
33
28
48
83
32
14
23
52
8
50
50
39
23
46
0
39
60
34
22
0
18
21
26
60
22
22
32
62
41
0
45
19
48
56
21
24
35
41
43
20
55
34
0
0
34
61
11
55
0
45
10
44
30
41
7
37
27
35
20
0
46
26
19
18
22
14
48
27
35
38
37
18
0
47
18
13
53
61
55
18
0
33
49
0
24
48
0
24
59
43
23
16
21
29
44
0
27
20
50
37
7
25
36
65
70
31
32
38
71
36
26
20
0
28
50
20
49
49
37
33
26
35
40
53
28
11
12
11
1
65
25
20
0
30
0
6
42
41
46
48
0
33
23
59
48
34
21
39
8
39
55
65
12
37
54
46
31
54
47
22
34
27
23
0
64
8
31
16
61
18
45
36
64
35
0
62
49
46
64
23
0
0
56
38
21
49
0
41
58
82
46
38
31
0
0
9
19
48
12
18
0
21
41
0
29
37
26
24
43
24
17
0
1
28
24
16
23
43
0
1
38
39
40
15
61
38
38
16
33
27
31
45
0
45
0
17
53
56
79
59
14
0
50
41
77
29
1
11
61
57
0
67
41
56
20
24
74
59
65
24
33
57
35
51
55
62
22
5
28
41
66
27
13
43
35
56
45
41
44
13
42
29
74
0
41
39
41
35
16
13
20
22
51
26
56
0
38
42
12
68
37
58
0
71
17
0
0
17
62
0
13
72
55
0
45
69
51
33
49
32
66
2
49
0
0
19
14
38
17
0
19
21
41
47
0
29
44
20
64
53
14
46
0
15
48
44
64
34
70
45
22
44
46
49
27
41
46
17
44
24
16
59
22
61
45
18
9
42
0
27
40
48
27
0
61
12
33
45
55
38
34
5
43
61
32
0
61
51
27
39
33
58
42
43
41
26
0
12
68
63
39
26
0
51
59
8
45
28
19
49
12
36
66
64
25
55
22
16
47
0
31
40
33
73
0
67
47
0
28
0
42
26
17
4
43
67
50
