Model,MAE,RMSE,R2 Score,Median AE,Variance Score,Max Error,Acc ±15 (%),Train Time (s),Pred Time (s)
Linear Regression,11.98,16.83,0.3225,7.72,0.3225,80.18,71.03,0.0637,0.0396
Ridge Regression,11.98,16.83,0.3225,7.72,0.3225,80.18,71.03,0.0669,0.0052
Lasso Regression,12.0,16.84,0.3222,7.75,0.3222,80.82,71.11,0.1859,0.006
Decision Tree,11.59,16.72,0.3315,7.2,0.3315,88.88,73.22,1.302,0.0076
Random Forest,11.3,16.04,0.3845,7.12,0.3845,84.41,73.27,7.7947,0.1047
Gradient Boosting,11.9,16.68,0.3348,7.73,0.3348,79.31,71.4,39.4303,0.0672
