Model,MAE,RMSE,R2 Score,Median AE,Variance Score,Max Error,Acc ±15 (%),Train Time (s),Pred Time (s)
Linear Regression,11.98,16.83,0.3231,7.74,0.3231,79.91,71.03,0.2201,0.0144
Ridge Regression,11.98,16.83,0.3231,7.74,0.3231,79.91,71.03,0.0934,0.0104
Lasso Regression,12.0,16.83,0.3227,7.79,0.3227,79.97,71.04,0.3498,0.0028
Decision Tree,11.48,16.62,0.3396,7.02,0.3396,86.63,72.99,2.6058,0.0158
Random Forest,10.02,14.87,0.4716,6.27,0.4721,88.36,78.21,401.7237,1.5421
Gradient Boosting,11.91,16.69,0.3342,7.72,0.3342,79.83,71.32,57.6381,0.0664
